tAI_full	flag_Kon	protein_synthesis_rate	real_protein_synthesis_per_mrna	AvgExp_Steinmetz	AvgmRNA_percell_Holstege	Gene	AVGEXP_YPD	DM_YPD	tAI_full	AvgExp_Steinmetz	DM_Steinmetz	Kon	real_protein_synthesis_per_mrna	
I1TLE	Intermediate1	HighProtSyn	I1ProtSyn.mRNA	Int1.mRNA	Int1.mRNA	GDA1	80.5	-3.305	0.403721830160121	3.073	-0.044	4.807	0.108	
HighTLE	Intermediate2	NA	NA	High.mRNA	NA	GDH1	4405	8.749	0.533140819632877	7.418	0.164	2.573	NA	
I1TLE	High	NA	NA	Low.mRNA	Int1.mRNA	GDH2	99.5	2.438	0.402464833528699	0.448	-0.194	21.736	NA	
HighTLE	Intermediate1	IntProtSyn	I1ProtSyn.mRNA	Int1.mRNA	Int2.mRNA	GDI1	738.5	-1.437	0.431283714369319	4.137	-0.125	10.964	0.043	
I1TLE	Low	NA	NA	Int1.mRNA	NA	GDT1	204.5	-0.267	0.404918237654568	3.751	-0.049	0.72	NA	
LowTLE	Intermediate2	NA	NA	Low.mRNA	Low.mRNA	GEA1	80.5	-1.451	0.34199104569987	0.368	-0.108	3.666	NA	
I2TLE	Low	NA	NA	Low.mRNA	Low.mRNA	GEA2	263.5	-0.739	0.377718014849416	0.791	-0.031	0.018	NA	
I1TLE	Low	IntProtSyn	LowProtSyn.mRNA	Int1.mRNA	NA	GET4	75	-2.12	0.3994010866955	2.636	-0.08	0.405	0.01	
I2TLE	Intermediate1	NA	NA	Int1.mRNA	NA	GFD1	136	-0.2	0.357147607648744	2.788	-0.012	7.834	NA	
I2TLE	Intermediate2	NA	NA	Low.mRNA	NA	GGA1	73	2.784	0.351524701510267	0.446	-0.059	2.454	NA	
I1TLE	Intermediate1	NA	NA	Int1.mRNA	NA	GGA2	539.5	0.043	0.402194399858776	3.191	-0.061	9.877	NA	
LowTLE	Intermediate2	NA	NA	Int2.mRNA	Int1.mRNA	GIC2	68	4.621	0.347005482160178	1.667	0.184	2.135	NA	
I1TLE	NA	NA	NA	NA	NA	GIM3	644	-1.077	0.391595625877109	NA	NA	NA	NA	
I1TLE	Low	NA	NA	Int1.mRNA	NA	GIM4	86.5	1.103	0.403384438731267	2.044	-0.014	0.229	NA	
HighTLE	Intermediate2	HighProtSyn	HighProtSyn.mRNA	Int2.mRNA	NA	GIM5	115	-1.908	0.427213446989381	1.682	0.136	2.036	0.117	
I1TLE	Low	NA	NA	Low.mRNA	Int1.mRNA	GIN4	153.5	1.163	0.382234406580598	0.601	0.441	0.887	NA	
I2TLE	Intermediate1	NA	NA	Low.mRNA	NA	GIP3	191	0.806	0.372209406171658	0.838	-0.052	7.602	NA	
I1TLE	High	LowProtSyn	LowProtSyn.mRNA	Int1.mRNA	NA	GIR2	572	-1.243	0.417997263703268	3.397	-0.086	16.076	0.002	
I1TLE	High	HighProtSyn	I2ProtSyn.mRNA	High.mRNA	NA	GIS2	2362	-1.976	0.409554680067671	14.803	-0.113	54.151	0.029	
I1TLE	High	IntProtSyn	I2ProtSyn.mRNA	High.mRNA	Int2.mRNA	GLC7	1964.5	-2.329	0.390247181584973	11.673	-0.163	32.81	0.02	
I2TLE	Low	IntProtSyn	I2ProtSyn.mRNA	Int1.mRNA	Int1.mRNA	GLC8	372.5	-0.484	0.36410613823781	3.006	-0.048	1.592	0.033	
LowTLE	High	LowProtSyn	I2ProtSyn.mRNA	Int2.mRNA	Int1.mRNA	GLE2	119.5	1.254	0.314161872270274	1.642	-0.146	439.349	0.016	
I1TLE	NA	NA	NA	NA	NA	GLK1	145.5	5.689	0.38793680975691	NA	NA	NA	NA	
HighTLE	Low	NA	NA	High.mRNA	High.mRNA	GLN1	7803.5	2.029	0.521013738784137	8.443	0.184	1.292	NA	
HighTLE	Intermediate1	NA	NA	High.mRNA	Int2.mRNA	GLN4	1489.5	1.915	0.442824828097016	4.515	-0.038	9.379	NA	
I1TLE	Low	HighProtSyn	I1ProtSyn.mRNA	Int2.mRNA	Int2.mRNA	GLO2	355	-0.25	0.398621671824741	1.613	-0.078	0.872	0.104	
I1TLE	High	IntProtSyn	I2ProtSyn.mRNA	Int1.mRNA	Int2.mRNA	GLO3	499.5	-2.913	0.382724989136792	3.693	-0.088	16.464	0.021	
HighTLE	Low	NA	NA	Int1.mRNA	Int2.mRNA	GLR1	363.5	2.488	0.422238119644071	4.059	-0.067	0.539	NA	
HighTLE	Intermediate1	NA	NA	Int1.mRNA	NA	GLT1	642	2.591	0.438875491607135	2.371	-0.004	6.086	NA	
HighTLE	NA	NA	NA	NA	High.mRNA	GLY1	7490	-1.447	0.460883728530898	NA	NA	NA	NA	
HighTLE	Intermediate1	NA	NA	High.mRNA	NA	GND1	11084	4.94	0.552322504936309	10.107	0.019	7.874	NA	
I1TLE	Low	NA	NA	High.mRNA	High.mRNA	GNP1	2635.5	-1.716	0.38402661792144	5.92	-0.025	1.654	NA	
LowTLE	Intermediate1	NA	NA	Int1.mRNA	NA	GOT1	270.5	0.652	0.348628270788215	2.235	-0.047	8.358	NA	
I2TLE	Low	NA	NA	Int2.mRNA	Int2.mRNA	GPA1	580	-2.006	0.366879180489653	1.893	0.167	1.204	NA	
LowTLE	Intermediate1	NA	NA	Int2.mRNA	Int1.mRNA	GPA2	164.5	2.717	0.348581584746091	1.554	-0.04	7.016	NA	
HighTLE	Intermediate2	NA	NA	High.mRNA	NA	GPD1	2206	7.871	0.510264130417401	4.326	0.144	2.912	NA	
I1TLE	Intermediate2	HighProtSyn	HighProtSyn.mRNA	Int1.mRNA	Int1.mRNA	GPD2	953	0.345	0.395405014590832	2.267	0.113	3.657	0.199	
HighTLE	NA	NA	NA	NA	NA	GPH1	244	25.02	0.428516182777593	NA	NA	NA	NA	
I2TLE	Intermediate1	NA	NA	Int2.mRNA	NA	GPI11	431	-1.183	0.357185131268376	1.176	-0.089	11.655	NA	
I2TLE	Intermediate2	NA	NA	Low.mRNA	NA	GPI13	152	-1.393	0.369376208517225	0.425	-0.065	4.296	NA	
I2TLE	High	NA	NA	Int2.mRNA	NA	GPI17	190.5	1.99	0.366259530598865	1.26	-0.166	365.966	NA	
LowTLE	Intermediate1	NA	NA	Int2.mRNA	Low.mRNA	GPI8	225.5	-0.903	0.33916892194353	1.569	-0.034	6.758	NA	
HighTLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	High.mRNA	High.mRNA	GPM1	13331.5	-1.887	0.62908689490186	90.156	0.054	10	0.211	
I1TLE	Intermediate1	NA	NA	Low.mRNA	Low.mRNA	GPM3	155.5	-0.834	0.388935276573862	0.828	-0.01	4.645	NA	
I2TLE	Low	NA	NA	Int2.mRNA	NA	GPN2	135	-0.463	0.373368900150305	1.896	-0.047	0.897	NA	
I2TLE	Intermediate2	NA	NA	Low.mRNA	NA	GPT2	167.5	1.106	0.367540662010313	0.485	-0.088	3.448	NA	
HighTLE	Intermediate2	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	NA	GPX2	462.5	14.298	0.43635221363829	4.787	0.313	1.853	0.059	
HighTLE	Low	HighProtSyn	HighProtSyn.mRNA	Int1.mRNA	Int2.mRNA	GRE2	171	12.277	0.437162913213501	3.015	0.708	0.814	0.122	
I1TLE	Intermediate2	HighProtSyn	HighProtSyn.mRNA	Int2.mRNA	NA	GRE3	274.5	4.487	0.415989009810291	1.226	0.052	3.264	0.229	
I2TLE	Intermediate1	NA	NA	Int2.mRNA	NA	GRH1	316	-1.052	0.350288324054085	1.863	0.013	4.836	NA	
HighTLE	NA	NA	NA	NA	High.mRNA	GRS1	2608	-0.043	0.514901309889308	NA	NA	NA	NA	
HighTLE	Intermediate2	NA	NA	Int1.mRNA	NA	GRX1	506	2.236	0.438902772652291	2.249	0.035	4.532	NA	
I1TLE	Intermediate2	HighProtSyn	I1ProtSyn.mRNA	Int1.mRNA	NA	GRX3	75	-0.708	0.405846674021774	3.434	-0.11	2.11	0.044	
I2TLE	Low	HighProtSyn	HighProtSyn.mRNA	Int1.mRNA	NA	GRX5	184.5	1.743	0.363900922495236	2.064	-0.065	0.854	0.111	
I1TLE	High	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	NA	GSF2	75	-2.137	0.412887342398163	10.811	-0.134	23.419	0.053	
I1TLE	Low	NA	NA	Low.mRNA	NA	GSY1	91	4.312	0.397492102068101	0.47	0.105	0.03	NA	
I1TLE	Low	IntProtSyn	I1ProtSyn.mRNA	Low.mRNA	NA	GSY2	278.5	16.589	0.386126259566421	0.824	0.802	0.497	0.108	
I2TLE	High	LowProtSyn	LowProtSyn.mRNA	Low.mRNA	NA	GTB1	64.5	-3.907	0.357348641302405	0.404	-0.326	415.769	0.007	
LowTLE	Intermediate2	NA	NA	Low.mRNA	Int1.mRNA	GTR1	71	-2.78	0.337826204099245	1.005	-0.029	4.427	NA	
LowTLE	NA	NA	NA	NA	NA	GTR2	89.5	-1.111	0.349810566191548	NA	NA	NA	NA	
LowTLE	Intermediate1	LowProtSyn	LowProtSyn.mRNA	Int1.mRNA	Int1.mRNA	GTS1	149	-1.415	0.344123732574165	2.358	-0.043	4.624	0.014	
HighTLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	High.mRNA	High.mRNA	GUK1	806.5	-1.13	0.473125641369766	6.217	-0.127	9.601	0.141	
I2TLE	Intermediate2	NA	NA	Low.mRNA	NA	GUP1	200	0.982	0.376198699677701	0.713	-0.009	3.677	NA	
HighTLE	High	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	NA	GUS1	2527	-1.661	0.526977181192807	13.289	-0.07	21.662	0.077	
HighTLE	High	HighProtSyn	HighProtSyn.mRNA	High.mRNA	NA	GVP36	744.5	-0.532	0.448571948010925	7.51	-0.158	26.876	0.212	
LowTLE	High	NA	NA	Low.mRNA	NA	GWT1	163.5	-0.148	0.346861410797933	0.531	-0.114	27.395	NA	
I2TLE	Intermediate1	NA	NA	Int1.mRNA	Low.mRNA	GYP6	66	1.003	0.367641817486886	2.126	0.018	5.069	NA	
LowTLE	Intermediate1	NA	NA	Int2.mRNA	NA	HAA1	54.5	-3.733	0.328163923260829	1.713	-0.018	5.445	NA	
I1TLE	Low	HighProtSyn	I1ProtSyn.mRNA	Int1.mRNA	Int1.mRNA	HAM1	312	1.64	0.419852356422566	2.255	-0.052	1.564	0.082	
I2TLE	Intermediate1	LowProtSyn	LowProtSyn.mRNA	Low.mRNA	Int1.mRNA	HBS1	163.5	-0.6	0.359813769742889	0.981	-0.059	4.695	0.009	
I1TLE	Intermediate2	LowProtSyn	LowProtSyn.mRNA	Int1.mRNA	Low.mRNA	HCA4	253	-0.875	0.40766584917375	3.1	-0.07	2.601	0.005	
I1TLE	Intermediate2	HighProtSyn	I1ProtSyn.mRNA	Int1.mRNA	NA	HCH1	912	-1.144	0.412691923916689	3.016	0.101	2.95	0.097	
HighTLE	High	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	NA	HCR1	831.5	-1.722	0.492771992251307	9.03	-0.114	44.217	0.077	
HighTLE	Intermediate2	IntProtSyn	LowProtSyn.mRNA	Int1.mRNA	NA	HEK2	713.5	-1.194	0.422966415854079	2.72	0.049	4.249	0.007	
LowTLE	Intermediate1	LowProtSyn	LowProtSyn.mRNA	Int2.mRNA	NA	HEL2	115.5	-1.06	0.344330179056067	1.382	-0.11	11.111	0.008	
I1TLE	High	NA	NA	High.mRNA	Int1.mRNA	HEM1	160	6.382	0.410748675685551	4.472	-0.143	35.775	NA	
I1TLE	High	NA	NA	Int1.mRNA	Int1.mRNA	HEM12	160	-0.556	0.398771042803724	3.504	-0.05	14.877	NA	
HighTLE	Intermediate2	IntProtSyn	I1ProtSyn.mRNA	Int1.mRNA	Int1.mRNA	HEM13	304.5	5.296	0.481721813689446	2.974	0.171	2.464	0.055	
I1TLE	Intermediate2	HighProtSyn	HighProtSyn.mRNA	Int1.mRNA	Int1.mRNA	HEM15	263	4.793	0.396719248209587	2.208	-0.083	1.832	0.128	
I1TLE	High	LowProtSyn	LowProtSyn.mRNA	Int1.mRNA	Int2.mRNA	HEM2	467	0.405	0.381350863519192	3.183	-0.081	14.889	0.008	
I1TLE	High	NA	NA	Int2.mRNA	Low.mRNA	HEM3	299.5	0.219	0.392649655596093	1.786	-0.105	15.865	NA	
I1TLE	Low	NA	NA	Int1.mRNA	Int2.mRNA	HGH1	664.5	0.176	0.404073477101159	2.067	-0.009	0.942	NA	
HighTLE	Low	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	High.mRNA	HHF1	2027	51.343	0.579703059162295	15.728	1.067	0.514	0.052	
I1TLE	Low	HighProtSyn	I1ProtSyn.mRNA	Int1.mRNA	Int1.mRNA	HHO1	504	-0.411	0.410822764418019	2.531	0.308	0.832	0.096	
I2TLE	Low	IntProtSyn	I1ProtSyn.mRNA	Low.mRNA	Int1.mRNA	HIF1	113.5	0.082	0.378843884738781	0.89	0.041	1.666	0.068	
I1TLE	High	NA	NA	Int1.mRNA	High.mRNA	HIP1	705	-1.491	0.384955342497078	2.244	-0.204	79.552	NA	
HighTLE	Low	NA	NA	Int2.mRNA	High.mRNA	HIS4	2089	3.5	0.435269230048474	1.861	0.345	1.108	NA	
I1TLE	Intermediate2	NA	NA	Int2.mRNA	Int1.mRNA	HIS5	282.5	3.827	0.413726096675543	1.802	0.058	3.218	NA	
I2TLE	NA	NA	NA	NA	Int1.mRNA	HIS6	110.5	2.341	0.366498822687997	NA	NA	NA	NA	
I1TLE	Intermediate2	NA	NA	Int2.mRNA	Int1.mRNA	HIS7	600	-0.578	0.384005890639933	1.204	-0.047	1.935	NA	
I2TLE	Intermediate1	NA	NA	Int1.mRNA	NA	HLJ1	72.5	3.82	0.362940395150208	2.015	-0.077	10.54	NA	
I1TLE	Low	NA	NA	Low.mRNA	Int1.mRNA	HMG1	188	0.123	0.393018867102584	0.901	0.227	1.187	NA	
I2TLE	Low	NA	NA	Low.mRNA	Low.mRNA	HMG2	107.5	2.187	0.358990918977078	0.578	-0.019	0.327	NA	
HighTLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	High.mRNA	Int2.mRNA	HMO1	574.5	2.888	0.48625674381665	17.048	-0.079	11.654	0.188	
LowTLE	NA	NA	NA	NA	Low.mRNA	HMS2	102.5	2.242	0.315643639269448	NA	NA	NA	NA	
HighTLE	Intermediate1	NA	NA	High.mRNA	Int2.mRNA	HMT1	539	-1.234	0.439318641835563	7.799	-0.037	10.659	NA	
I1TLE	Intermediate2	NA	NA	Int1.mRNA	Int2.mRNA	HNM1	496.5	1.775	0.384367043556073	3.785	-0.086	3.28	NA	
HighTLE	High	NA	NA	High.mRNA	High.mRNA	HNT1	602.5	-1.559	0.425488322823219	8.494	-0.121	44.22	NA	
I1TLE	Intermediate1	IntProtSyn	I2ProtSyn.mRNA	Int1.mRNA	Int1.mRNA	HOC1	100.5	-1.278	0.387693303418806	3.114	-0.058	12.85	0.034	
I1TLE	High	NA	NA	Int1.mRNA	Int2.mRNA	HOG1	400.5	-0.374	0.393652249258425	2.681	-0.09	19.416	NA	
I1TLE	Intermediate2	NA	NA	Low.mRNA	Int1.mRNA	HOL1	97	0.482	0.386787732347731	0.847	0.021	4.425	NA	
HighTLE	Intermediate1	NA	NA	High.mRNA	High.mRNA	HOM2	821	-0.384	0.503015613828879	13.622	0.127	5.046	NA	
I1TLE	Intermediate2	NA	NA	Int1.mRNA	Int1.mRNA	HOM3	690.5	0.148	0.414003892612144	2.723	0.075	3.105	NA	
HighTLE	Intermediate2	NA	NA	High.mRNA	High.mRNA	HOM6	484	1.094	0.518305050780843	11.149	-0.124	1.96	NA	
HighTLE	Low	NA	NA	High.mRNA	NA	HOR7	1662.5	18.36	0.478940849451703	17.213	0.557	1.206	NA	
LowTLE	Intermediate2	NA	NA	Low.mRNA	Low.mRNA	HOS2	108.5	2.068	0.325777034699877	0.183	-0.171	3.383	NA	
I2TLE	Low	NA	NA	Low.mRNA	Low.mRNA	HOS3	60	-4.85	0.362999922451448	0.382	0.121	0.467	NA	
I2TLE	Intermediate1	NA	NA	Low.mRNA	Low.mRNA	HPA3	96.5	0.335	0.372004628194668	0.994	-0.026	4.885	NA	
HighTLE	Intermediate2	HighProtSyn	I2ProtSyn.mRNA	High.mRNA	High.mRNA	HPT1	1615	-0.817	0.470925613723941	8.227	-0.019	3.668	0.041	
LowTLE	High	IntProtSyn	I2ProtSyn.mRNA	Int2.mRNA	Int1.mRNA	HRB1	145	-1.271	0.336678334769684	1.788	-0.116	27.453	0.019	
I2TLE	High	NA	NA	Int1.mRNA	Int1.mRNA	HRR25	425.5	-1.997	0.379518046769683	3.098	-0.176	48.455	NA	
HighTLE	Intermediate1	HighProtSyn	HighProtSyn.mRNA	High.mRNA	NA	HSC82	242	0.512	0.597254046389266	65.148	0.062	8.693	0.368	
I2TLE	Intermediate1	NA	NA	Int1.mRNA	NA	HSE1	85	-0.074	0.352160581360494	2.599	-0.076	10.901	NA	
I2TLE	Intermediate2	NA	NA	Low.mRNA	Low.mRNA	HSH49	68	-1.491	0.373175295362625	0.776	0.004	3.84	NA	
HighTLE	Intermediate2	NA	NA	Int1.mRNA	NA	HSP104	2351	8.229	0.467563736016639	2.495	0.2	1.778	NA	
I1TLE	Intermediate2	NA	NA	Int1.mRNA	NA	HSP42	183	7.956	0.406718395501223	3.517	0.155	2.614	NA	
I1TLE	Low	NA	NA	Low.mRNA	NA	HSP78	233	7.467	0.406572805582179	0.506	0.32	0.211	NA	
HighTLE	Intermediate2	HighProtSyn	HighProtSyn.mRNA	High.mRNA	NA	HSP82	6395	9.658	0.582048175430088	12.146	0.38	1.943	0.502	
LowTLE	Low	NA	NA	Int1.mRNA	Low.mRNA	HST2	141.5	-0.434	0.344677716335813	2.577	-0.102	0.732	NA	
HighTLE	Low	NA	NA	High.mRNA	High.mRNA	HTA2	4086	0.736	0.53459933295871	17.984	1.045	0.442	NA	
HighTLE	Low	NA	NA	High.mRNA	High.mRNA	HTB2	6460	-1.629	0.579282099712744	12.622	0.964	0.532	NA	
I2TLE	Intermediate2	NA	NA	Int2.mRNA	NA	HTL1	297.5	-1.162	0.366163537945159	1.858	0.023	2.47	NA	
HighTLE	High	NA	NA	High.mRNA	High.mRNA	HTS1	1119.5	-0.724	0.460153961140789	5.778	-0.139	36.267	NA	
I1TLE	Intermediate2	NA	NA	Int1.mRNA	NA	HTZ1	581.5	-1.524	0.384495326329086	3.485	0.21	2.084	NA	
HighTLE	NA	HighProtSyn	HighProtSyn.mRNA	NA	NA	HXK1	111	0.219	0.520441117454444	NA	NA	NA	10.854	
HighTLE	High	HighProtSyn	HighProtSyn.mRNA	High.mRNA	High.mRNA	HXK2	10709	1.042	0.575192680508945	24.706	0.021	13.929	0.732	
HighTLE	Low	NA	NA	High.mRNA	High.mRNA	HXT2	3451	11.326	0.461546979734198	6.754	0.44	1.338	NA	
HighTLE	Intermediate2	HighProtSyn	I1ProtSyn.mRNA	High.mRNA	High.mRNA	HXT3	3521	4.729	0.494075815866133	17.296	0.114	2.839	0.055	
HighTLE	NA	NA	NA	NA	NA	HXT6	3384.5	8.832	0.514181903152139	NA	NA	NA	NA	
HighTLE	NA	NA	NA	NA	High.mRNA	HYR1	191	4.213	0.439756227895895	NA	NA	NA	NA	
LowTLE	High	NA	NA	Int1.mRNA	NA	ICE2	265.5	-1.592	0.319405008238971	2.602	-0.079	16.748	NA	
HighTLE	Low	NA	NA	Int2.mRNA	Int1.mRNA	IDH1	342	6.239	0.451697808324042	1.623	0.476	1.205	NA	
I1TLE	Low	HighProtSyn	HighProtSyn.mRNA	Int1.mRNA	High.mRNA	IDH2	550.5	13.032	0.413524890643459	2.983	0.333	1.484	0.445	
I1TLE	Intermediate2	HighProtSyn	I2ProtSyn.mRNA	High.mRNA	Int2.mRNA	IDI1	771.5	-1.392	0.417441901285505	4.526	-0.123	1.85	0.042	
HighTLE	Intermediate1	NA	NA	High.mRNA	Int2.mRNA	IDP1	645.5	2.765	0.46834617653717	5.547	-0.024	8.622	NA	
I2TLE	High	NA	NA	Low.mRNA	NA	IES1	100	-1.906	0.372299338946751	0.905	-0.156	407.084	NA	
I2TLE	Intermediate1	NA	NA	Int2.mRNA	NA	IES3	114	2.159	0.379221129404935	1.633	-0.074	7.451	NA	
LowTLE	Intermediate1	NA	NA	Low.mRNA	NA	IES4	153.5	1.176	0.335044637130433	0.978	-0.081	6.533	NA	
LowTLE	High	NA	NA	Low.mRNA	NA	IES5	102.5	0.152	0.335584752551099	0.935	-0.13	75.8	NA	
I1TLE	Intermediate1	NA	NA	Int1.mRNA	NA	IFA38	669.5	-1.958	0.419624493551772	4.133	-0.059	12.263	NA	
LowTLE	High	NA	NA	Int1.mRNA	NA	IGO1	152.5	0.702	0.303638961619381	2.227	-0.098	18.255	NA	
LowTLE	Low	NA	NA	Int2.mRNA	NA	IGO2	186	-0.148	0.310583586873496	1.634	0.004	0.819	NA	
LowTLE	Intermediate2	NA	NA	Int2.mRNA	Int1.mRNA	IKI1	99.5	0.277	0.342559713602997	1.224	-0.074	3.424	NA	
I1TLE	Intermediate2	LowProtSyn	LowProtSyn.mRNA	Int2.mRNA	Int1.mRNA	IKI3	519	1.215	0.397135692956992	1.463	-0.009	2.853	0.004	
HighTLE	Low	NA	NA	Int1.mRNA	High.mRNA	ILS1	3489.5	-0.303	0.474002459581561	2.691	-0.074	1.382	NA	
HighTLE	High	IntProtSyn	I2ProtSyn.mRNA	High.mRNA	Int2.mRNA	ILV1	261.5	7.953	0.438542227872448	6.103	-0.105	26.32	0.021	
HighTLE	Intermediate1	NA	NA	High.mRNA	Int2.mRNA	ILV3	2080.5	3.491	0.472867917171767	8.927	0.029	5.558	NA	
HighTLE	High	NA	NA	High.mRNA	Int2.mRNA	ILV6	528	5.377	0.422120136806941	10.967	-0.055	16.399	NA	
HighTLE	NA	NA	NA	NA	NA	IMD2	396	4.126	0.45133589128782	NA	NA	NA	NA	
HighTLE	High	HighProtSyn	HighProtSyn.mRNA	High.mRNA	NA	IMD3	1136.5	1.169	0.50336871417016	9.11	-0.128	60.476	0.305	
HighTLE	NA	IntProtSyn	LowProtSyn.mRNA	NA	NA	IMD4	785	-0.305	0.5101213192025	NA	NA	NA	0.014	
I2TLE	High	NA	NA	Int2.mRNA	NA	IMG1	161	2.537	0.357099736117921	1.876	-0.057	13.709	NA	
LowTLE	High	NA	NA	Int2.mRNA	Low.mRNA	IMG2	115.5	1.306	0.337428126483339	1.148	-0.102	14.639	NA	
I1TLE	Intermediate2	NA	NA	Int1.mRNA	Low.mRNA	IMH1	142.5	1.118	0.387261154632075	2.307	-0.049	2.829	NA	
I2TLE	Low	NA	NA	Low.mRNA	NA	IML2	127	1.453	0.372209712241188	0.68	0.149	1.637	NA	
LowTLE	Intermediate2	NA	NA	Low.mRNA	NA	IMO32	139	0.037	0.294390825371899	0.758	0.04	2.571	NA	
I1TLE	Low	IntProtSyn	I2ProtSyn.mRNA	High.mRNA	NA	INA1	3919	8.204	0.392627766555118	6.892	0.08	1.644	0.032	
I1TLE	Intermediate2	IntProtSyn	I1ProtSyn.mRNA	Low.mRNA	NA	INH1	124	8.46	0.39045050799115	0.541	0.113	1.875	0.088	
I2TLE	Intermediate2	IntProtSyn	I2ProtSyn.mRNA	Low.mRNA	NA	INM1	115.5	1.849	0.367984171097342	0.54	-0.02	3.601	0.023	
I1TLE	Low	NA	NA	Low.mRNA	NA	INO80	95.5	1.355	0.405566063201119	0.972	-0.068	0.922	NA	
I2TLE	Intermediate1	LowProtSyn	LowProtSyn.mRNA	Low.mRNA	Low.mRNA	INP53	219.5	-0.348	0.354478728198823	0.631	-0.103	4.861	0.009	
I2TLE	Intermediate1	NA	NA	Int2.mRNA	NA	IOC2	74.5	-1.254	0.351731437921942	1.129	-0.066	5.35	NA	
LowTLE	Intermediate1	NA	NA	Low.mRNA	NA	IOC3	87	-2.219	0.346702906122784	0.872	-0.093	7.981	NA	
LowTLE	Intermediate1	NA	NA	Int2.mRNA	NA	IPI1	105	-0.519	0.307852889298322	1.268	0.004	5.226	NA	
HighTLE	High	HighProtSyn	HighProtSyn.mRNA	High.mRNA	NA	IPP1	1221	7.112	0.575521987533541	23.268	-0.108	30.774	0.341	
LowTLE	Intermediate2	NA	NA	Low.mRNA	NA	IRA2	68.5	0.691	0.340641134853626	0.661	-0.029	2.002	NA	
I2TLE	Intermediate2	NA	NA	High.mRNA	NA	IRC22	820.5	1.938	0.379551573627395	4.578	-0.105	2.636	NA	
I2TLE	Intermediate2	NA	NA	Low.mRNA	Low.mRNA	IRR1	73	-2.691	0.376675428678958	0.412	0.03	1.936	NA	
I2TLE	Intermediate2	NA	NA	Int2.mRNA	NA	ISA1	111	3.943	0.350916502112555	1.491	-0.087	4.454	NA	
HighTLE	Intermediate1	NA	NA	Int1.mRNA	NA	ISD11	566.5	0.425	0.4494285057479	2.942	-0.04	8.347	NA	
I2TLE	Intermediate2	NA	NA	Low.mRNA	NA	IST1	145	-0.592	0.368090445522969	0.893	-0.077	3.018	NA	
I2TLE	Intermediate2	IntProtSyn	I1ProtSyn.mRNA	Int2.mRNA	NA	IST2	146.5	1.427	0.375596317420528	1.111	0.054	3.448	0.043	
I1TLE	Intermediate2	NA	NA	High.mRNA	NA	ISU1	872	1.759	0.394906160707203	4.586	0.173	3.066	NA	
I2TLE	Intermediate2	HighProtSyn	HighProtSyn.mRNA	Int2.mRNA	NA	ISU2	637	3.604	0.35169440862656	1.916	0.199	1.84	0.13	
I1TLE	High	IntProtSyn	I2ProtSyn.mRNA	Int2.mRNA	Low.mRNA	ISW1	208.5	-0.824	0.403682720468776	1.037	-0.089	14.504	0.017	
I2TLE	NA	NA	NA	NA	NA	ITC1	70.5	-0.194	0.359205759528294	NA	NA	NA	NA	
I1TLE	Intermediate2	NA	NA	High.mRNA	High.mRNA	ITR1	494.5	3.228	0.397286725342201	8.705	-0.049	3.901	NA	
LowTLE	Intermediate2	LowProtSyn	I2ProtSyn.mRNA	Low.mRNA	NA	IVY1	123.5	4.744	0.331428479835437	0.916	0.02	2.971	0.026	
I2TLE	Low	IntProtSyn	I2ProtSyn.mRNA	Low.mRNA	Low.mRNA	IXR1	319.5	-0.282	0.375597896322061	0.665	0.016	0.761	0.021	
I1TLE	Intermediate1	IntProtSyn	LowProtSyn.mRNA	Int1.mRNA	NA	JIP5	155.5	6.216	0.384844237654773	2.014	-0.01	7.29	0.013	
LowTLE	Intermediate2	NA	NA	Low.mRNA	NA	JJJ3	100.5	0.206	0.330167836637667	0.593	-0.027	3.003	NA	
I2TLE	Intermediate1	NA	NA	Low.mRNA	Low.mRNA	JSN1	103	1.331	0.355820980512119	0.612	-0.139	10.47	NA	
LowTLE	Low	NA	NA	Low.mRNA	NA	KAE1	176	-1.607	0.328474844552801	0.64	-0.045	0.382	NA	
I2TLE	Low	LowProtSyn	LowProtSyn.mRNA	Int2.mRNA	NA	KAP104	277	0.801	0.362382296117498	1.139	-0.031	0.65	0.006	
I1TLE	Low	NA	NA	Low.mRNA	NA	KAP120	86.5	0.794	0.381589471483215	0.253	-0.092	0.863	NA	
I2TLE	Intermediate2	NA	NA	Low.mRNA	NA	KAP122	114	0.247	0.373191156539408	0.474	-0.032	4.024	NA	
HighTLE	Intermediate2	HighProtSyn	HighProtSyn.mRNA	Int1.mRNA	Int1.mRNA	KAP123	2687	1.94	0.477315011865569	2.275	0.05	4.037	0.225	
I1TLE	High	NA	NA	Low.mRNA	NA	KAP95	1435.5	-0.625	0.398785489523734	0.872	-0.102	37.945	NA	
I2TLE	Low	NA	NA	Low.mRNA	Int1.mRNA	KAR4	123	1.518	0.374013720761437	0.637	-0.098	0.301	NA	
